,,,,,,,,,,,,
,,,,,,,,,,,,
263,,,高寮溪左股,,,2019.04,思揚,,,,,terry video
264,,,高寮溪中股,,,2025.6,,,,,,
265,,,"樹湖溪
樹湖1","🄳🅄
V4 A2 III",40m,202307,麒安,,no,,no,
266,,,"樹湖溪
樹湖2",,,,煥瑞,,,,,
267,,卓溪,山風一號,"V4 A4 IV
⭐️",70m,,賢哥,,,,,
268,,卓溪,山風二號,,,,賢哥,,,,,
269,,秀林,撒固兒瀑布,v3 a3 II,25m,,,,,,,
270,,秀林,"立霧溪支流
銀帶立芹瀑布","V4 A3 III
⭐️⭐️",185m,2024.3/17,,,,,,
271,,富里,女鬼瀑布,v4 a3,100m,,,,,,,terry video
272,,吉安,七腳川溪,,,,,,,,,
273,,,馬鞍1,,,,煥瑞,,,,,
274,,,馬鞍2,,,,煥瑞,,,,,
275,,,暴龍全段,,,,煥瑞,,,,,
276,,,鶯橋下白楊,,,,,,,,,
277,,,隧道瀑布,,,,祖源,,,,,
278,,台東,Taitung,,,,,,,,,
279,,"鄉鎮
Region","溪流名稱
Name","暫定溪谷分級
Grading","最短繩長或
最高落差","最新蹤跡
Latest
traces","首隊
蹤跡
first
record","接近路線
Approach",AB車,"全部時間
Total time","錨點
建置
維護","備註
Remark"
280,,,"大崙溪
凱翁峽谷段","V3 A4 V
⭐️⭐️-枯水",,,,,,,,
281,,,"大崙溪
大崙溪支流",,,,,,,,,
282,,,"大崙溪
大崙溪支流
沛音",V4A4VI,80m,20250406,,1day,no,3day-4day,no,集水區範圍大 credid chiz048
283,,,"大崙溪
大崙溪支流
神殿",V4A4V,80m,20250202,,1day,no,3day,no,集水區範圍大
284,,,崙天瀑布群,,,2024/10,,,,,,
285,,,"大濱溪
成廣澳","V4A2V
枯水",70m,2022.10/8,渙謹,,,,,
286,,,"武拉庫散右股
錦屏林道","V4 A4 VI
豐水",70m,2023,渙謹,,,,,
287,,,都威溪中股,,,2025.5,渙謹,,,,,
288,,,都威溪左股,,,,渙謹,,,,,
289,,,都威溪右股,,,,思揚,,,4day,,terry video
290,,成功,重安,v5 a3 III,70m,,,,,,,
291,,成功,新港,"v5 a3 V
⭐️",290m,,莊周,,,,,
292,,,"知本溪
知本雙龍",V4 A4 V,40m,20240722,煥瑞,,,2day,,
293,,,松風溪,,,202602,佳珊,,,,,
